usnews_cs_rank,school,location,city,state,tie,source,source_file
69,Emory University,"Atlanta, GA",Atlanta,GA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
69,George Washington University,"Washington, DC",Washington,DC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
69,Oregon State University,"Corvallis, OR",Corvallis,OR,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
69,Rensselaer Polytechnic Institute,NY,,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
69,University of Delaware,"Newark, DE",Newark,DE,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
69,University of Iowa,"Iowa City, IA",Iowa City,IA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
69,William & Mary,"Williamsburg, VA",Williamsburg,VA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,Case Western Reserve University,OH,,OH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,Georgetown University,DC,,DC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,Rochester Institute of Technology,NY,,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,Syracuse University,"Syracuse, NY",Syracuse,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,University of Georgia,"Athens, GA",Athens,GA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,University of Nebraska--Lincoln,NE,,NE,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
76,University of Tennessee--Knoxville,"Knoxville, TN",Knoxville,TN,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
83,Clemson University,"Clemson, SC",Clemson,SC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
83,Colorado School of Mines,"Golden, CO",Golden,CO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
83,"University of Maryland, Baltimore County","Baltimore, MD",Baltimore,MD,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
83,University of Oregon,"Eugene, OR",Eugene,OR,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
83,University of South Florida,"Tampa, FL",Tampa,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,Auburn University,"Auburn, AL",Auburn,AL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,Florida State University,"Tallahassee, FL",Tallahassee,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,Lehigh University,PA,,PA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,New Jersey Institute of Technology,"Newark, NJ",Newark,NJ,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,Stevens Institute of Technology,"Hoboken, NJ",Hoboken,NJ,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,University of Connecticut,CT,,CT,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
