usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
27,New York University,NY,,NY,true,https://www.nyu.edu/,https://cs.nyu.edu/,https://cs.nyu.edu/faculty,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,Northwestern University,IL,,IL,true,https://www.northwestern.edu/,https://www.mccormick.northwestern.edu/computer-science/,https://www.mccormick.northwestern.edu/computer-science/people/faculty/tenure-track.html,https://hr.northwestern.edu/benefits/caregiving/view-benefits-by-audience.html,https://hr.northwestern.edu/careers/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,Rice University,"Houston, TX",Houston,TX,true,https://www.rice.edu/,https://cs.rice.edu/,https://cs.rice.edu/hiring,,https://jobs.rice.edu,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,University of California--Irvine,"Irvine, CA",Irvine,CA,true,https://uci.edu/,https://ics.uci.edu/,,,https://jobs.uci.edu/careers-home/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,University of California--Santa Barbara,"Santa Barbara, CA",Santa Barbara,CA,true,https://www.ucsb.edu/,https://cs.ucsb.edu/,https://cs.ucsb.edu/open-positions,https://www.ucsb.edu/faculty-and-staff,https://www.ucsb.edu/jobs,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,University of North Carolina--Chapel Hill,"Chapel Hill, NC",Chapel Hill,NC,true,https://www.unc.edu/,https://cs.unc.edu/,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,Northeastern University,"Boston, MA",Boston,MA,true,https://www.northeastern.edu/,https://www.khoury.northeastern.edu/,https://www.khoury.northeastern.edu/people/?filters%5B%5D=people_roles%7C931,,https://hr.northeastern.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,University of Colorado--Boulder,"Boulder, CO",Boulder,CO,true,https://www.colorado.edu/,https://www.colorado.edu/cs/,https://www.colorado.edu/cs/jobs,https://jobs.colorado.edu/,https://www.colorado.edu/jobs,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,University of Virginia,VA,,VA,true,https://www.virginia.edu/,https://engineering.virginia.edu/departments/computer-science,https://engineering.virginia.edu/department/computer-science/about/computer-science-employment,https://jobs.virginia.edu/us/en/uva-faculty-positions,https://hr.virginia.edu/careers-uva/job-openings,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,Virginia Tech,"Blacksburg, VA",Blacksburg,VA,true,https://www.vt.edu/,https://cs.vt.edu/,https://jobs.vt.edu/faq.html,https://www.vt.edu/resources/faculty-and-staff.html,https://jobs.vt.edu,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,Ohio State University,"Columbus, OH",Columbus,OH,true,https://www.osu.edu/,https://cse.osu.edu/,https://cse.osu.edu/professor-practice-faculty-positions,,https://hr.osu.edu/careers/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,Pennsylvania State University--University Park,"University Park, PA",University Park,PA,true,https://www.psu.edu/,https://www.eecs.psu.edu/,https://www.engr.psu.edu/academic-positions/index.aspx,,https://hr.psu.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,Texas A&M University--College Station,"College Station, TX",College Station,TX,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,University of California--Davis,"Davis, CA",Davis,CA,true,https://www.ucdavis.edu/,https://cs.ucdavis.edu/,,http://academicsenate.ucdavis.edu,https://www.ucdavis.edu/about/jobs,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,University of Minnesota--Twin Cities,"Minneapolis, MN",Minneapolis,MN,true,https://twin-cities.umn.edu/,https://cse.umn.edu/cs,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
43,Arizona State University,"Tempe, AZ",Tempe,AZ,true,https://www.asu.edu/,https://scai.engineering.asu.edu/,https://provost.asu.edu/charter-professor,https://search.asu.edu/?search-tabs=web_dir_faculty_staff,https://cfo.asu.edu/applicant,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
43,Rutgers University--New Brunswick,"Piscataway, NJ",Piscataway,NJ,true,https://www.rutgers.edu/,https://www.cs.rutgers.edu/,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
43,Stony Brook University--SUNY,"Stony Brook, NY",Stony Brook,NY,true,https://www.stonybrook.edu/,https://www.cs.stonybrook.edu/,https://www.cs.stonybrook.edu/faculty,https://career.stonybrook.edu/commcms/career-center/faculty_staff/partner_with_us.php,https://career.stonybrook.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
46,Boston University,MA,,MA,true,https://www.bu.edu/,https://www.bu.edu/cs/,https://www.bu.edu/cs/2025/12/10/gong-named-2025-26-cds-faculty-fellow/,https://www.bu.edu/hr/careers/faculty/,https://www.bu.edu/hr/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
